項目,表記,単位数
ディジタル技術検定1級,ディジタル技術検定:1級,1
ディジタル技術検定2級,ディジタル技術検定:2級,1
ディジタル技術検定3級,ディジタル技術検定:3級,1
情報処理技術者試験システム監査技術者試験,情報処理:システム監査技術者,2
情報処理技術者試験ITサービスマネージャ試験,情報処理:ITサービスマネージャ,2
情報処理技術者試験情報セキュリティスペシャリスト試験,情報処理:情報セキュリティスペシャリスト,2
情報処理技術者試験エンベデッドシステムスペシャリスト試験,情報処理:エンベデッドシステムスペシャリスト,2
情報処理技術者試験データベーススペシャリスト試験,情報処理:データベーススペシャリスト,2
情報処理技術者試験ネットワークスペシャリスト試験,情報処理:ネットワークスペシャリスト,2
情報処理技術者試験プロジェクトマネージャ試験,情報処理:プロジェクトマネージャ,2
情報処理技術者試験システムアーキテクト試験,情報処理:システムアーキテクト,2
情報処理技術者試験ITストラテジスト試験,情報処理:ITストラテジスト,2
情報処理技術者試験応用情報技術者試験,情報処理:応用情報技術者,2
情報処理技術者試験基礎情報技術者試験,情報処理:基礎情報技術者,1
情報処理技術者試験ITパスポート試験,情報処理:ITパスポート,1
情報検定(J検)情報活用試験1級,情報検定:情報活用試験1級,1
情報検定(J検)情報活用試験2級,情報検定:情報活用試験2級,1
