項目,表記,単位数
第1種または第2種電気主任技術者,電気主任技術者:1種または2種,4
第3種電気主任技術者,電気主任技術者:3種,2
第3種電気主任技術者の2科目合格,電気主任技術者:2科目合格,2
第1種電気工事士,第1種電気工事士,1
第2種電気工事士,第2種電気工事士,1
第1級陸上無線技術士,陸上無線技術士:1級,2
第2級陸上無線技術士,陸上無線技術士:2級,1
第1級陸上特殊無線技士,陸上特殊無線技士:1級,1
アマチュア無線技士1級または2級,アマチュア無線技士:1級または2級,1
電気通信主任技術者線路主任,電気通信主任技術者:線路主任,1
電気通信主任技術者伝送交換主任,電気通信主任技術者:伝送交換主任,1
工事担当者AI・DD総合種,工事担当者:AI・DD総合種,2
工事担当者AI第1種または第2種,工事担当者:AI第1種または第2種,1
工事担当者AI第3種,工事担当者:AI第3種,1
工事担当者DD第1種または第2種,工事担当者:DD第1種または第2種,1
工事担当者DD第3種,工事担当者:DD第3種,1
ラジオ・音響技能検定1級,ラジオ・音響技能検定:1級,1
ラジオ・音響技能検定2級,ラジオ・音響技能検定:2級,1
ラジオ・音響技能検定3級,ラジオ・音響技能検定:3級,1
ディジタル技術検定1級,ディジタル技術検定:1級,1
ディジタル技術検定2級,ディジタル技術検定:2級,1
情報処理技術者試験ITパスポート試験,情報処理:ITパスポート試験,1
情報検定(J検)情報活用試験1級,情報検定:情報活用試験1級,1
情報検定(J検)情報活用試験2級,情報検定:情報活用試験2級,1
CGエンジニア検定エキスパート,CGエンジニア検定:エキスパート,1
画像処理エンジニア検定エキスパート,画像処理エンジニア検定:エキスパート,1
パソコン技能検定II種試験1級,パソコン技能検定:II種1級,1
