項目,表記,単位数
機械設計技術者試験3級,機械設計技術者:3級,3
危険物取扱者試験乙種第4類,危険物取扱者:乙種第4類,1
2級ボイラー技士試験,ボイラー技士:2級,2
エックス線作業主任者試験,エックス線作業主任者,2
ガス溶接技能者資格試験,ガス溶接技能者,2
騒音・振動関係公害防止管理者試験,公害防止管理者:騒音・振動,3
機械・プラント製図技能検定(機械製図手書き作業)3級,製図技能検定:手書き3級,1
機械・プラント製図技能検定(機械製図CAD作業)3級,製図技能検定:CAD3級,1
機械加工技能検定(普通旋盤作業)2級,機械加工技能検定:旋盤2級,1
機械加工技能検定(普通旋盤作業)3級,機械加工技能検定:旋盤3級,1
機械加工技能検定(フライス盤作業)2級,機械加工技能検定:フライス盤2級,1
機械加工技能検定(フライス盤作業)3級,機械加工技能検定:フライス盤3級,1
トレース技能検定試験2級,トレース技能検定:2級,1
CADトレース技能審査・機械部門初級,CADトレース技能審査:初級,1
CADトレース技能審査・機械部門中級,CADトレース技能審査:中級,2
3次元CAD利用技術者試験2級,3次元CAD利用技術者:2級,1
3次元CAD利用技術者試験準1級,3次元CAD利用技術者:準1級,2
3次元CAD利用技術者試験1級,3次元CAD利用技術者:1級,2
情報検定(J検)情報システム試験基本スキル,情報検定:情報システム基本スキル,1
情報検定(J検)情報システム試験プログラミングスキル,情報検定:情報システムプログラミングスキル,1
