項目,表記,単位数,区分
実用英語技能検定1級,実用英検:1級,2,一般
実用英語技能検定準1級,実用英検:準1級,2,一般
実用英語技能検定2級,実用英検:2級,1,一般
実用英語技能検定準2級プラス,実用英検:準2級プラス,1,一般
日本漢字能力検定1級,漢字検定:1級,1,一般
日本漢字能力検定準1級,漢字検定:準1級,1,一般
日本漢字能力検定2級,漢字検定:2級,1,一般
TOEIC L&R 730点以上,TOEIC L&R:730点以上,4,一般
TOEIC L&R 600点〜729点,TOEIC L&R:600〜729点,1,一般
TOEIC L&R 470点〜599点,TOEIC L&R:470〜599点,1,一般
技術英語能力検定プロフェッショナル,技術英検:プロフェッショナル,2,一般
技術英語能力検定準プロフェッショナル,技術英検:準プロフェッショナル,1,一般
技術英語能力検定1級,技術英検:1級,1,一般
技術英語能力検定2級,技術英検:2級,2,一般
ドイツ語技能検定試験4級,ドイツ語検定:4級,1,一般
ドイツ語技能検定試験3級,ドイツ語検定:3級,1,一般
ドイツ語技能検定試験2級,ドイツ語検定:2級,2,一般
情報処理技術者試験ITパスポート試験,情報処理:ITパスポート,1,専門
